word,definition
proficient,"skilled, good at something"
dogmatic,"stating opinions as unquestionable truths, refusing debate"
ambiguous,unclear; open to more than one meaning
unpretentious,"modest, not showy"
surmised,guessed/concluded from limited evidence
contrived,"artificially made up; forced, unnatural"
questioned,doubted
regretted,felt sorry about
supplemental to,added on as an extra
predictive of,able to forecast
independent of,not affected by; separate from
subsumed in,absorbed into something larger
circumvent,"find a way around (a rule, obstacle)"
corroborate,confirm or support with evidence
disseminate,spread widely (information)
implement,put into effect
adorn,decorate
optimize,make as effective as possible
endorse,publicly support
counteract,act against; cancel the effect of
desultory,"aimless, unfocused, jumping around"
spurious,"false, fake but looking real"
veritable,"genuine, true (often an intensifier)"
notional,"existing only as an idea, hypothetical"
summations,"summaries, totals"
conjectures,guesses based on incomplete information
conclusions,settled judgments reached by reasoning
exemplifications,illustrations by example
repudiates,"rejects, refuses to accept"
proclaims,announces publicly
foretells,predicts
recants,takes back something one previously said/believed
unvarying,never changing
musical,melodic
exclusive,limited to a select few
modest,small in size/amount; humble
imaginative,creative
superficial,"surface-level, shallow"
exhaustive,"complete, covering everything"
questionable,doubtful
transposed with,swapped in position with
mediated by,brought about / channeled through an intermediary
decoupled from,disconnected from
antecedent to,coming before
contentious,"causing argument, controversial"
prudent,"careful, showing good judgment"
unworkable,not feasible
optimistic,expecting the best
haphazard,"random, without order"
ineffectual,"producing no effect, useless"
arduous,"extremely difficult, requiring great effort"
authenticated by,proven genuine by
habituated to,accustomed to
contemporary with,existing at the same time as
concentrated among,clustered within
overlooked,"ignored, not noticed"
powerful,strong
routine,"ordinary, regular"
variable,"changing, inconsistent"
stymie,"block, frustrate, prevent progress"
compound,make worse; combine
disparage,"belittle, speak of as unimportant"
outstrip,"surpass, exceed"
deceptive,misleading
innocuous,harmless
novel,"new, original"
impractical,not sensible/usable
exploit,use for advantage (often unfairly)
discern,"detect, perceive, recognize (esp. something subtle)"
prioritize,rank by importance
yield,produce; give way
realized,achieved; understood
perceptible,"noticeable, able to be sensed"
situated,located
dwindling,"shrinking, decreasing"
arguing about,disputing
disapproving of,viewing negatively
asserting possession of,claiming ownership of
providing resistance to,pushing back against
modesty,humility
misgiving,"doubt, worry"
constraint,"a limit, restriction"
composure,calmness
inertia,tendency to stay unchanged; resistance to motion/change
decisiveness,ability to decide quickly
evasion,avoidance
turnover,"rate of replacement (staff, stock)"
conclude,decide after reasoning; end
dictate,"command, determine with authority"
evaluate,assess
select,choose
controversial among,disputed by
antagonistic toward,hostile to
imitated by,copied by
inconsequential to,"unimportant to, having no effect on"
disengage,"detach, withdraw"
annotate,add explanatory notes
buttress,"support, strengthen (an argument, structure)"
reciprocate,"respond in kind, return a favor"
recognition,acknowledgment
scheme,plan (often sneaky)
supposition,"an assumption, something supposed true without proof"
synopsis,brief summary
prevail,"win out, be dominant"
succumb,"give in, yield"
diverge,go in different directions
intersect,"cross, overlap"
complementary,completing each other well
unknown,not known
disparate,"fundamentally different, unrelated"
interchangeable,able to swap without difference
succinctly,briefly and clearly
dispassionately,"neutrally, without emotion"
disingenuously,"insincerely, pretending to be naive"
surreptitiously,"secretly, stealthily"
quarrel about,argument over
paucity of,"scarcity, too little of"
profusion of,"abundance, a huge amount of"
verisimilitude in,the appearance of being true/real
innovative,new and original
subversive,undermining established systems
profound,"deep, intellectually weighty"
accessible,"easy to reach, understand, or use"
heterogeneity,the state of being varied/diverse
ubiquity,the state of being everywhere
expediency,convenience/practicality (sometimes over principle)
fecundity,"fertility, productiveness"
protracted,"dragged out, prolonged"
superseded,replaced by something newer
curtailed,"cut short, reduced"
obviated,"made unnecessary, eliminated the need for"
substantial,"large, considerable"
satisfying,pleasing
unimportant,not significant
appropriate,suitable
defunct,no longer existing or functioning
arcane,"understood by few, obscure/secret"
ubiquitous,found everywhere
extraneous,"irrelevant, unnecessary, external"
insensible to,"unaware of, unaffected by"
manifest in,clearly shown/displayed in
scrutinized by,examined closely by
complicated by,made more complex by
interjected,inserted abruptly (a remark)
committed,dedicated; carried out (an act)
illustrated,shown by example/pictures
prescribed,"officially dictated, laid down as a rule"
authoritative,"reliable, commanding respect"
opaque,impossible to see through or understand
empirical,based on observation/experiment
facile,"superficially simple, glib"
propensity,natural tendency
inducement,"an incentive, something that persuades"
paradigm,a model or typical example
appeasement,pacifying by giving in
discernible,detectable
straightforward,"simple, direct"
inconclusive,not settling the question
unbiased,neutral
restrained,"held back, controlled"
inventive,"creative, original"
inexplicable,impossible to explain
mystifying,bewildering
presuppose,assume in advance
categorize,sort into groups
mitigate,make less severe
validate,confirm as sound
ambivalent,having mixed feelings
retrospective,looking back at the past
counterfactual,"considering what did NOT happen (""what if"")"
analogical,based on comparison/analogy
require,need
remember,recall
foster,encourage the growth of
discourage,deter
exploiting,using for gain
monetizing,turning into income
appraising,evaluating the worth of
engendering,"producing, giving rise to"
depleted,"used up, exhausted"
homogeneous,"uniform, all the same kind"
immature,not fully developed
dispersed,scattered
demarcated from,clearly separated/bounded from
reconstituted as,rebuilt into
conflated with,mistakenly merged/confused with
derived from,obtained from
predatory,preying on others
obscure,little known; hard to understand
diverse,varied
localized,restricted to one area
contrivances of,artificial constructions of
proxies for,"stand-ins, substitutes used to measure something else"
catalysts of,triggers that speed something up
deterrents to,things that discourage
sanguine,"optimistic, cheerfully confident"
recalcitrant,stubbornly uncooperative
misanthropic,hating/distrusting people
earnest,serious and sincere
cohesion,"sticking together, unity"
elasticity,"flexibility, ability to stretch and recover"
affection,fondness
reciprocity,mutual exchange
consistent with,in agreement with
representative of,typical of
overshadowed by,made to seem less important by
irrelevant to,unrelated to
abrasive,"harsh, rough"
outspoken,"frank, blunt"
hypothesized,proposed as an explanation
discounted,dismissed as unimportant
redefined,defined anew
exploited,made full use of
inconspicuousness,quality of not attracting notice
discretion,careful judgment; secrecy-keeping
ambiguity,openness to multiple meanings
probability,likelihood
disorienting,confusing about place/direction
tenuous,"weak, thin, barely holding (a link, claim)"
nuanced,subtly detailed
unoriginal,"derivative, copied"
replicable,able to be repeated
predetermined,decided in advance
operative,currently functioning; the key part
latent,"present but hidden/inactive, not yet visible"
unobtrusive,not drawing attention
concealed,hidden
approximate,roughly correct
peripheral,on the edge; of secondary importance
antecedent,coming before
impending,about to happen (usually something bad)
perpetual,never-ending
unassuming,"modest, not calling attention to itself"
shrewd,"sharp, cleverly practical"
incongruous,"out of place, not fitting"
pretentious,"showing off, claiming unearned importance"
inevitable,unavoidable
satisfactory,good enough
negligible,so small it can be ignored
commonplace,"ordinary, everyday"
**conjecture/supposition/surmise** (all = educated guess,"as verbs/nouns they're the ""uncertainty"" family) vs **conclusion** (settled)"
"**facile** (too easy, glib",negative!) vs **accessible** (easy to use — positive)
